"","id","phase","date","site","bait_take","species","prints_count","raven_visit_1_pa","raven_visit_1_time","raven_visit_2_pa","raven_visit_2_time","raven_visit_3_pa","raven_visit_3_time","fox_visit_1_pa","fox_visit_1_time","fox_visit_2_pa","fox_visit_2_time","fox_visit_3_pa","fox_visit_3_time","fox_visit_4_pa","fox_visit_4_time","fox_visit_5_pa","fox_visit_5_time","treatment","foxes","ravens","bait_notes","bait_yes","day_of_week","minimum_temperature_c","maximum_temperature_c","rainfall_mm","speed_of_maximum_wind_gust_km_h","fox_visit_pa","fox_visit_n","raven_visit_pa","raven_visit_n","study_day"
"21",23,"1",2024-01-15,"F34",1,"Unknown",NA,0,NA,0,NA,0,NA,1,0.805555555555555,1,-2208999180,1,-2209068600,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,1,3,0,0,1
"22",24,"1",2024-01-15,"F48",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"23",25,"1",2024-01-15,"F52",1,"Unknown",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"24",26,"1",2024-01-15,"F53",1,"Unknown",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"25",27,"1",2024-01-15,"F54",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"26",28,"1",2024-01-15,"F57",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"27",29,"1",2024-01-15,"F58",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"28",30,"1",2024-01-15,"F09",1,"Raven",0,0,NA,0,NA,0,NA,1,0.880555555555556,1,-2208995640,1,-2208990360,1,-2209059180,0,NA,"Control",NA,1,NA,"Yes","Monday",13.3,20.5,20.6,39,1,4,0,0,1
"29",31,"1",2024-01-15,"F10",1,"Raven",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,1,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"30",32,"1",2024-01-15,"F11",1,"Raven",1,1,-2209017060,0,NA,0,NA,1,0.345833333333333,1,-2209044960,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Monday",13.3,20.5,20.6,39,1,2,1,1,1
"31",33,"1",2024-01-15,"F14",1,"Raven",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,1,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"32",34,"1",2024-01-15,"F22",1,"Raven",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,1,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"33",35,"1",2024-01-15,"F40",1,"Raven",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"34",36,"1",2024-01-15,"F02",1,"Unknown",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"35",37,"1",2024-01-15,"F15",1,"Unknown",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"36",38,"1",2024-01-15,"F17",1,"Unknown",1,0,NA,0,NA,0,NA,1,0.2125,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,1,1,0,0,1
"37",39,"1",2024-01-15,"F20",1,"Unknown",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"38",40,"1",2024-01-15,"F28",1,"Unknown",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"39",41,"1",2024-01-15,"F03",1,"Raven",NA,1,-2209040520,0,NA,0,NA,1,0.829861111111111,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,1,1,1,1,1
"40",42,"1",2024-01-15,"F27",1,"Fox",1,1,-2209075200,0,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,1,1,1
"41",43,"1",2024-01-15,"F32",1,"Unknown",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Monday",13.3,20.5,20.6,39,0,0,0,0,1
"42",44,"1",2024-01-16,"F05",1,"Fox",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"43",45,"1",2024-01-16,"F06",1,"Fox",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"44",46,"1",2024-01-16,"F09",1,"Fox",1,1,-2209045200,0,NA,0,NA,1,0.958333333333333,1,-2209070760,1,-2209064640,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,1,3,1,1,2
"45",47,"1",2024-01-16,"F30",1,"Fox",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"46",48,"1",2024-01-16,"F34",1,"Fox",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"47",49,"1",2024-01-16,"F35",1,"Fox",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"48",50,"1",2024-01-16,"F52",1,"Fox",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"49",51,"1",2024-01-16,"F53",1,"Fox",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"50",52,"1",2024-01-16,"F55",1,"Fox",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"51",53,"1",2024-01-16,"F56",1,"Fox",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"52",54,"1",2024-01-16,"F18",1,"Fox",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"53",55,"1",2024-01-16,"F19",1,"Fox",0,0,NA,0,NA,0,NA,1,0.99375,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,1,1,0,0,2
"54",56,"1",2024-01-16,"F23",1,"Fox",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"55",57,"1",2024-01-16,"F24",1,"Fox",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"56",58,"1",2024-01-16,"F04",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"57",59,"1",2024-01-16,"F08",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"58",60,"1",2024-01-16,"F15",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"59",61,"1",2024-01-16,"F20",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"60",62,"1",2024-01-16,"F22",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"61",63,"1",2024-01-16,"F26",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"62",64,"1",2024-01-16,"F27",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"63",65,"1",2024-01-16,"F40",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"64",66,"1",2024-01-16,"F48",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"65",67,"1",2024-01-16,"F54",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"66",68,"1",2024-01-16,"F57",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"67",69,"1",2024-01-16,"F58",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"68",70,"1",2024-01-16,"F03",1,"Raven",NA,1,-2209025940,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,1,1,2
"69",71,"1",2024-01-16,"F07",1,"Raven",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"70",72,"1",2024-01-16,"F10",1,"Raven",NA,1,-2209013160,1,-2209007520,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,1,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,1,2,2
"71",73,"1",2024-01-16,"F11",1,"Raven",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,1,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"72",74,"1",2024-01-16,"F12",1,"Raven",NA,1,-2209007160,1,-2209001580,1,-2209043280,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,1,3,2
"73",75,"1",2024-01-16,"F13",1,"Raven",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"74",76,"1",2024-01-16,"F14",1,"Raven",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,1,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"75",77,"1",2024-01-16,"F16",1,"Raven",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"76",78,"1",2024-01-16,"F17",1,"Raven",0,0,NA,0,NA,0,NA,1,0.869444444444444,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Tuesday",13.6,22.2,0.4,26,1,1,0,0,2
"77",79,"1",2024-01-16,"F21",1,"Raven",1,0,NA,0,NA,0,NA,1,0.847916666666667,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Tuesday",13.6,22.2,0.4,26,1,1,0,0,2
"78",80,"1",2024-01-16,"F01",1,"Unknown",NA,0,NA,0,NA,0,NA,1,0.865277777777778,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,1,1,0,0,2
"79",81,"1",2024-01-16,"F02",1,"Unknown",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"80",82,"1",2024-01-16,"F28",1,"Unknown",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"81",83,"1",2024-01-16,"F29",1,"Unknown",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"82",84,"1",2024-01-16,"F31",1,"Unknown",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"83",85,"1",2024-01-16,"F32",1,"Unknown",2,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"84",86,"1",2024-01-16,"F25",1,"Unknown",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Tuesday",13.6,22.2,0.4,26,0,0,0,0,2
"85",87,"1",2024-01-17,"F05",1,"Fox",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"86",88,"1",2024-01-17,"F14",1,"Fox",NA,1,-2209046160,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,1,1,3
"87",89,"1",2024-01-17,"F30",1,"Fox",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"88",90,"1",2024-01-17,"F52",1,"Fox",NA,0,NA,0,NA,0,NA,1,0.872916666666667,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,1,1,0,0,3
"89",91,"1",2024-01-17,"F53",1,"Fox",NA,0,NA,0,NA,0,NA,1,0.880555555555556,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,1,1,0,0,3
"90",92,"1",2024-01-17,"F55",1,"Fox",NA,0,NA,0,NA,0,NA,1,0.295833333333333,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,1,1,0,0,3
"91",93,"1",2024-01-17,"F23",1,"Fox",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"92",94,"1",2024-01-17,"F24",1,"Fox",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"93",95,"1",2024-01-17,"F25",1,"Fox",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"94",96,"1",2024-01-17,"F31",1,"Fox",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"95",97,"1",2024-01-17,"F34",1,"Fox",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"96",98,"1",2024-01-17,"F35",1,"Fox",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"97",99,"1",2024-01-17,"F08",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"98",100,"1",2024-01-17,"F16",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"99",101,"1",2024-01-17,"F17",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"100",102,"1",2024-01-17,"F18",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"101",103,"1",2024-01-17,"F19",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"102",104,"1",2024-01-17,"F20",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"103",105,"1",2024-01-17,"F21",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"104",106,"1",2024-01-17,"F22",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"105",107,"1",2024-01-17,"F26",1,"Unknown",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"106",108,"1",2024-01-17,"F40",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"107",109,"1",2024-01-17,"F48",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"108",110,"1",2024-01-17,"F54",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"109",111,"1",2024-01-17,"F57",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"110",112,"1",2024-01-17,"F58",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"111",113,"1",2024-01-17,"F01",1,"Raven",NA,0,NA,0,NA,0,NA,1,0.114583333333333,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Wednesday",13.9,22.6,2.6,41,1,1,0,0,3
"112",114,"1",2024-01-17,"F04",1,"Raven",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"113",115,"1",2024-01-17,"F06",1,"Raven",NA,0,NA,0,NA,0,NA,1,0.677777777777778,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Wednesday",13.9,22.6,2.6,41,1,1,0,0,3
"114",116,"1",2024-01-17,"F09",1,"Raven",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,1,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
